fileName,identifier,title,author,publisher,epubVersion,epubStatus,noErrors,noWarnings,errors,warnings,wordCount
/media/johan/Elements1/ebooks-cb/ebook_cb-1500474476032-170725-0200/20150602103153_9789044968323.epub,001,Omdenken,Berthold Gunster,Lev.,2.0.1,Well-formed,0,1,,CSS-017,5187
/media/johan/Elements1/ebooks-cb/ebook_cb-1500474481152-170722-0200/20150602103153_9789044963489.epub,001,Ik ben oké jij bent een sukkel,Berthold Gunster,Lev.,2.0.1,Well-formed,0,1,,CSS-017,77385
/media/johan/Elements1/ebooks-cb/ebook_cb-1500474488320-170725-0200/20150602103153_9789044968255.epub,001,Alles wat je moet weten over de overgang,Saron Petronilia,Lev.,2.0.1,Well-formed,0,1,,CSS-017,79130
/media/johan/Elements1/ebooks-cb/ebook_cb-1500474489088-170726-0200/20150602103153_9789044969269.epub,9789044969269,Château Slurp,Ilja Gort,A.W. Bruna Uitgevers,2.0.1,Well-formed,0,1,,CSS-017,598
/media/johan/Elements1/ebooks-cb/ebook_cb-1500474489856-170726-0200/20150602103153_9789044969054.epub,9789044969054,Lastige kinderen? Heb jij even geluk,Berthold Gunster creator,publisher,2.0.1,Well-formed,0,1,,CSS-017,97305
/media/johan/Elements1/ebooks-cb/ebook_cb-1500474490112-170722-0200/20150602103153_9789044964080.epub,9789044964080,Kies je doelgroep,Erno Hannink creator,publisher,2.0.1,Not well-formed,1,1,RSC-020,CSS-017,53587
/media/johan/Elements1/ebooks-cb/ebook_cb-1500474500608-170725-0200/20150602103153_9789044968330.epub,001,Omdenken in relaties,Berthold Gunster,Lev.,2.0.1,Well-formed,0,1,,CSS-017,8572
/media/johan/Elements1/ebooks-cb/ebook_cb-1500474512384-170726-0201/20150602103153_9789044969498.epub,9789044969498,Urbanathlon,Angélique Heijligers creator,publisher,2.0.1,Well-formed,0,1,,CSS-017,27919
/media/johan/Elements1/ebooks-cb/ebook_cb-1500474512640-170726-0201/20150602103153_9789044968637.epub,9789044968637,Het nieuwe Wasbord dieet,David Zinczenko met Ted Spiker creator,publisher,2.0.1,Well-formed,0,1,,CSS-017,77606
/media/johan/Elements1/ebooks-cb/ebook_cb-1500474512896-170726-0201/20150602103153_9789044969504.epub,9789044969504,"Vet man, zo’n baby!",Regina Romeijn en Guy van der Reijden creator,publisher,2.0.1,Well-formed,0,1,,CSS-017,70881
/media/johan/Elements1/ebooks-cb/ebook_cb-1500474520064-170726-0201/20150602103153_9789044968880.epub,9789044968880,Make-over missie,Trinny &amp; Susannah creator,publisher,2.0.1,Well-formed,0,1,,CSS-017,31897
