fileName,identifier,title,author,publisher,epubVersion,epubStatus,noErrors,noWarnings,errors,warnings,wordCount
/media/johan/Elements1/ebooks-cb/ebook_cb-1498569936896-170706-0200/20150602093137_9789044961348.epub,urn:uuid:ce1169a5-ae95-43f6-b0d2-5e4f62216cb9,Zomertijd,Suzanne Vermeer,A.W. Bruna Uitgevers,2.0.1,Well-formed,0,2,,PKG-010 PKG-014,65985
/media/johan/Elements1/ebooks-cb/ebook_cb-1498569938688-170705-0200/20150602093137_9789044961140.epub,urn:uuid:b3aef6ac-3806-4b28-acd5-925257e722f1,Cruise,Suzanne Vermeer,A.W. Bruna Uitgevers,2.0.1,Well-formed,0,2,,PKG-010 PKG-014,68350
/media/johan/Elements1/ebooks-cb/ebook_cb-1498569938944-170705-0200/20150602093137_9789044961249.epub,urn:uuid:c86f801e-7d7e-419c-b2b2-b7a25b530153,De vlucht,Suzanne Vermeer,A.W. Bruna Uitgevers,2.0.1,Well-formed,0,2,,PKG-010 PKG-014,68844
/media/johan/Elements1/ebooks-cb/ebook_cb-1498569939712-170705-0200/20150602093137_9789044960945.epub,urn:uuid:035693ee-4313-4b04-8462-edda76690a5e,All-Inclusive,Suzanne Vermeer,A.W. Bruna Uitgevers,2.0.1,Well-formed,0,2,,PKG-010 PKG-014,85728
/media/johan/Elements1/ebooks-cb/ebook_cb-1498569963776-170704-0200/20150602093137_9789044960723.epub,6f6d3251-986b-4f93-8f01-1ab0dd1845c1,Drie dartele doodgravers,Havank,A.W. Bruna Uitgevers,2.0.1,Well-formed,0,1,,PKG-014,82972
/media/johan/Elements1/ebooks-cb/ebook_cb-1498569972224-170707-0200/20150602093137_9789044961720.epub,77de0831-150c-4a98-8919-198c448052c7,De N.V. Mateor,Havank,A.W. Bruna Uitgevers,2.0.1,Not well-formed,1,2,RSC-005,PKG-010 PKG-014,68468
/media/johan/Elements1/ebooks-cb/ebook_cb-1498569972480-170707-0200/20150602093137_9789044961928.epub,b637b041-2f06-448d-996e-1a8d7176d1e3,De schaduw en co,Havank,A.W. Bruna Uitgevers,2.0.1,Not well-formed,1,2,RSC-005,PKG-010 PKG-014,41082
/media/johan/Elements1/ebooks-cb/ebook_cb-1498569972992-170704-0200/20150602093137_9789044960822.epub,37a8f323-4f61-4dfc-a701-824fea8c6b81,Er klopt iets niet,Havank,A.W. Bruna Uitgevers,2.0.1,Not well-formed,2,2,RSC-005 RSC-007,PKG-010 PKG-014,63696
/media/johan/Elements1/ebooks-cb/ebook_cb-1498569973248-170705-0200/20150602093137_9789044960921.epub,cd2f8cb8-d2d1-4c44-adf1-db3bd1ab99a0,Het geheim van de zevende sleutel,Havank,A.W. Bruna Uitgevers,2.0.1,Not well-formed,1,2,RSC-005,PKG-010 PKG-014,54163
/media/johan/Elements1/ebooks-cb/ebook_cb-1498569973760-170706-0200/20150602093137_9789044961522.epub,c40c1ed6-eefd-460d-9814-787ced85d530,In memoriam de schaduw,Havank,A.W. Bruna Uitgevers,2.0.1,Not well-formed,1,2,RSC-005,PKG-010 PKG-014,71557
/media/johan/Elements1/ebooks-cb/ebook_cb-1498569975296-170713-0200/20150602093137_9789044963250.epub,027e0fd5-20dc-4a8f-b1eb-a2747c07821a,Over bijen en mist,Erick Setiawan,A.W. Bruna Uitgevers,2.0.1,Well-formed,0,2,,PKG-010 PKG-014,144896
/media/johan/Elements1/ebooks-cb/ebook_cb-1498569983744-170712-0200/20150602093137_9789044962772.epub,4021dce1-9df5-451c-afb0-9386cb268973,Sangrita en tequila,F.G. Haghenbeck,Orlando,2.0.1,Not well-formed,2,3,RSC-005 RSC-007,OPF-003 PKG-010 PKG-014,82401
/media/johan/Elements1/ebooks-cb/ebook_cb-1498569984000-170718-0200/20150602093137_9789044964684.epub,7e858ac9-f6eb-4980-b11f-ad9dfb5be57a,Lijdensweg,Peter Robinson,A.W. Bruna Uitgevers,2.0.1,Not well-formed,2,1,RSC-005 RSC-007,PKG-014,97224
/media/johan/Elements1/ebooks-cb/ebook_cb-1498569985024-170701-0200/20150602093137_9789044960419.epub,urn:uuid:f4d575f9-696b-4688-ab6a-9624df12d163,De verzamelaars,David Baldacci,A.W. Bruna Uitgevers,2.0.1,Not well-formed,1,3,RSC-007,OPF-003 PKG-010 PKG-014,120061
/media/johan/Elements1/ebooks-cb/ebook_cb-1498569985280-170630-0200/20150602093137_9789044960211.epub,urn:uuid:f14b5e95-23a0-4b1d-b9b4-7dea7f8dc1ac,De samenzwering,David Baldacci,A.W. Bruna Uitgevers,2.0.1,Not well-formed,1,3,RSC-007,OPF-003 PKG-010 PKG-014,162749
/media/johan/Elements1/ebooks-cb/ebook_cb-1498569972736-170630-0200/20150602093137_9789044960129.epub,b6708beb-1b17-476f-b670-fc5d7563e02e,De verkavelde bruidegom,Havank,A.W. Bruna Uitgevers,2.0.1,Not well-formed,1,2,RSC-005,PKG-010 PKG-014,73231
